"","Item","Ambiguity","SpaNwords","SocNwords","SpaF-K","SocF-K","SpaMeanWordLength","SocMeanWordLength","SpaMeanWordFrequency","SocMeanWordFrequency"
"1",1,"y",99,120,10.7259393939394,10.3903781512605,4.83838383838384,4.5,5.79505050505051,5.94347457627119
"2",2,"y",118,103,8.71282608695653,8.022,4.48695652173913,4.31,6.05258928571429,5.90197916666667
"3",3,"y",103,117,9.85759223300971,10.2452389380531,4.54368932038835,4.43362831858407,5.79601941747573,5.89275229357798
"4",4,"y",116,114,7.65684210526316,7.86385964912281,4.42105263157895,3.98275862068966,5.89258928571429,6.06859649122807
"5",5,"y",93,104,10.9500215053763,10.0867184466019,4.81720430107527,4.42857142857143,5.76139784946237,5.75735294117647
"6",6,"y",107,78,7.79677570093458,7.724,4.37383177570093,4.74666666666667,6.03447619047619,5.74281690140845
"7",7,"y",104,126,8.25370873786408,9.68788571428572,4.55339805825243,5.03174603174603,5.8787,5.68508064516129
"8",8,"y",120,115,7.59966386554622,8.17438596491228,4.2396694214876,4.2719298245614,6.04669491525424,5.8512389380531
"9",9,"y",124,90,7.84320843091335,8.32278651685393,4.31147540983607,4.2247191011236,5.8505,5.88715909090909
"10",10,"y",107,85,9.62889719626168,8.21819512195122,4.5188679245283,4.40243902439024,5.96019047619048,5.90417721518987
"11",11,"y",94,118,7.77797849462366,7.14917792792793,4.38297872340426,4.57657657657658,5.94411111111111,6.05721153846154
"12",12,"y",113,83,9.05492857142857,9.24158536585366,4.25,4.35802469135802,5.96581818181818,5.85973684210526
"13",13,"y",124,106,7.87830578512397,10.5525471698113,4.15702479338843,4.07547169811321,6.03516949152542,6.10905660377358
"14",14,"y",115,115,9.24235087719298,6.82877192982456,4.2,3.80869565217391,5.93214285714286,6.07144144144144
"15",15,"y",113,95,10.5022342342342,11.0239361702128,4.35135135135135,4.27659574468085,5.8187962962963,5.94505376344086
"16",16,"y",109,97,9.14087155963303,9.30055913978495,4.75229357798165,4.48387096774194,5.83824074074074,5.91625
"17",17,"y",129,100,6.5072203765227,10.444,3.93798449612403,4.33,6.10846774193548,5.9803125
"18",18,"y",105,155,8.42928571428572,10.8890977443609,4.55238095238095,4.68421052631579,5.80330097087379,5.98767123287671
"19",19,"y",111,79,7.11454545454545,10.1688461538462,4.15596330275229,4.51282051282051,6.12951923076923,5.74051948051948
"20",20,"y",122,153,9.74386776859504,8.94933333333333,4.31404958677686,3.88,6.10068376068376,5.99613793103448
"21",21,"y",150,85,8.28948545861298,9.98924698795181,4.53691275167785,4.72619047619048,5.97216216216216,5.92617283950617
"22",22,"y",115,111,7.10040455120101,11.6008027522936,4.53097345132743,4.20183486238532,6.03801801801802,6.02392523364486
"23",23,"y",121,98,9.71333333333333,9.49352577319588,4.65,4.41237113402062,5.88581196581197,5.96451612903226
"24",24,"y",106,101,7.88679245283019,8.52032989690722,4.31775700934579,4.36082474226804,5.75849056603774,6.12263736263736
