"";"sub";"item";"cond";"seq";"dependnum";"start";"end";"duration_ms";"correctresp";"subresp";"accuracy"
"1";1;21;5;7;1;2873736;2879525;5789;3;3;1
"2";1;21;5;8;2;2879719;2890168;10449;3;2;0
"3";1;21;5;9;3;2890360;2898042;7682;2;2;1
"4";1;14;6;10;1;2955027;2963197;8170;2;2;1
"5";1;14;6;11;2;2963394;2973863;10469;2;2;1
"6";1;14;6;12;3;2974059;2978313;4254;1;1;1
"7";1;13;5;13;1;3033523;3038952;5429;3;2;0
"8";1;13;5;14;2;3039147;3048802;9655;3;1;0
"9";1;13;5;15;3;3048999;3053902;4903;1;1;1
"10";1;18;2;16;1;3102040;3109368;7328;1;1;1
"11";1;18;2;17;2;3109564;3115533;5969;2;1;0
"12";1;18;2;18;3;3115728;3120091;4363;2;2;1
"13";1;23;7;19;1;3175661;3185648;9987;3;1;0
"14";1;23;7;20;2;3185844;3195671;9827;1;2;0
"15";1;23;7;21;3;3195871;3201930;6059;2;1;0
"16";1;8;8;22;1;3249427;3255653;6226;1;1;1
"17";1;8;8;23;2;3255850;3265487;9637;3;3;1
"18";1;8;8;24;3;3265682;3270087;4405;1;1;1
"19";1;22;6;25;1;3318959;3328934;9975;1;3;0
"20";1;22;6;26;2;3329131;3334351;5220;1;1;1
"21";1;22;6;27;3;3334541;3339358;4817;1;1;1
"22";1;3;3;28;1;3390948;3397965;7017;3;3;1
"23";1;3;3;29;2;3398164;3411573;13409;2;2;1
"24";1;3;3;30;3;3411767;3416306;4539;1;1;1
"25";1;11;3;31;1;3466196;3474779;8583;3;2;0
"26";1;11;3;32;2;3474976;3484721;9745;2;2;1
"27";1;11;3;33;3;3484917;3490453;5536;2;2;1
"28";1;20;4;34;1;3547241;3553052;5811;2;2;1
"29";1;20;4;35;2;3553247;3559176;5929;3;1;0
"30";1;20;4;36;3;3559372;3564768;5396;2;2;1
"31";1;2;2;37;1;3650620;3656255;5635;2;2;1
"32";1;2;2;38;2;3656451;3665440;8989;2;2;1
"33";1;2;2;39;3;3665635;3669581;3946;1;1;1
"34";1;15;7;40;1;3724549;3731161;6612;3;2;0
"35";1;15;7;41;2;3731360;3741204;9844;2;2;1
"36";1;15;7;42;3;3741400;3749045;7645;2;2;1
"37";1;6;6;43;1;3791249;3798592;7343;1;1;1
"38";1;6;6;44;2;3798783;3803850;5067;1;1;1
"39";1;6;6;45;3;3804048;3807376;3328;2;1;0
"40";1;12;4;46;1;3855355;3861348;5993;2;2;1
"41";1;12;4;47;2;3861545;3872149;10604;3;2;0
"42";1;12;4;48;3;3872343;3876007;3664;2;2;1
"43";1;19;3;49;1;3918536;3929013;10477;3;3;1
"44";1;19;3;50;2;3929205;3937989;8784;1;1;1
"45";1;19;3;51;3;3938184;3945121;6937;2;3;0
"46";1;5;5;52;1;3997701;4004211;6510;3;2;0
"47";1;5;5;53;2;4004407;4010470;6063;3;2;0
"48";1;5;5;54;3;4010665;4014269;3604;3;3;1
"49";1;1;1;55;1;4064445;4070850;6405;3;2;0
"50";1;1;1;56;2;4071046;4078192;7146;3;1;0
"51";1;1;1;57;3;4078386;4082342;3956;2;2;1
"52";1;10;2;58;1;4126371;4131481;5110;1;1;1
"53";1;10;2;59;2;4131680;4138690;7010;2;2;1
"54";1;10;2;60;3;4138889;4143839;4950;1;3;0
"55";1;9;1;61;1;4190918;4202105;11187;3;3;1
"56";1;9;1;62;2;4202300;4209695;7395;3;2;0
"57";1;9;1;63;3;4209883;4213261;3378;1;1;1
"58";1;16;8;64;1;4259753;4269377;9624;2;2;1
"59";1;16;8;65;2;4269579;4275328;5749;3;3;1
"60";1;16;8;66;3;4275528;4279410;3882;1;1;1
"61";1;24;8;67;1;4332353;4340367;8014;1;1;1
"62";1;24;8;68;2;4340568;4347724;7156;3;3;1
"63";1;24;8;69;3;4347927;4352841;4914;1;1;1
"64";1;4;4;70;1;4405625;4410357;4732;2;2;1
"65";1;4;4;71;2;4410560;4418239;7679;3;2;0
"66";1;4;4;72;3;4418438;4423631;5193;2;3;0
"67";1;7;7;73;1;4472231;4480111;7880;3;2;0
"68";1;7;7;74;2;4480313;4485286;4973;1;1;1
"69";1;7;7;75;3;4485484;4488010;2526;1;1;1
"70";1;17;1;76;1;4535238;4542301;7063;3;3;1
"71";1;17;1;77;2;4542503;4547984;5481;3;1;0
"72";1;17;1;78;3;4548186;4556159;7973;1;2;0
"73";2;19;4;7;1;10690529;10696154;5625;1;1;1
"74";2;19;4;8;2;10696353;10723455;27102;3;1;0
"75";2;19;4;9;3;10723650;10727853;4203;2;2;1
"76";2;15;8;10;1;10786868;10793395;6527;2;2;1
"77";2;15;8;11;2;10793580;10803934;10354;3;3;1
"78";2;15;8;12;3;10804136;10806966;2830;2;2;1
"79";2;8;1;13;1;10895597;10903656;8059;3;3;1
"80";2;8;1;14;2;10903852;10909047;5195;3;1;0
"81";2;8;1;15;3;10909247;10912639;3392;1;1;1
"82";2;23;8;16;1;11607069;11618170;11101;1;1;1
"83";2;23;8;17;2;11618365;11625663;7298;3;3;1
"84";2;23;8;18;3;11625859;11633712;7853;2;2;1
"85";2;17;2;19;1;11704790;11717377;12587;2;1;0
"86";2;17;2;20;2;11717591;11729993;12402;1;1;1
"87";2;17;2;21;3;11730201;11737276;7075;1;1;1
"88";2;11;4;22;1;11820663;11827796;7133;2;2;1
"89";2;11;4;23;2;11828002;11836671;8669;3;1;0
"90";2;11;4;24;3;11836883;11843112;6229;2;3;0
"91";2;1;2;25;1;11944824;11950760;5936;2;2;1
"92";2;1;2;26;2;11950958;11957133;6175;1;2;0
"93";2;1;2;27;3;11957335;11968827;11492;2;3;0
"94";2;9;2;28;1;12187124;12196584;9460;2;2;1
"95";2;9;2;29;2;12196779;12202200;5421;1;1;1
"96";2;9;2;30;3;12202397;12204709;2312;1;1;1
"97";2;3;4;31;1;12278906;12285932;7026;2;2;1
"98";2;3;4;32;2;12286127;12305363;19236;3;2;0
"99";2;3;4;33;3;12305564;12309480;3916;1;1;1
"100";2;24;1;34;1;12384668;12392177;7509;3;3;1
"101";2;24;1;35;2;12392373;12400552;8179;3;1;0
"102";2;24;1;36;3;12400742;12403700;2958;1;1;1
"103";2;16;1;37;1;12545822;12551462;5640;3;3;1
"104";2;16;1;38;2;12551680;12557778;6098;3;1;0
"105";2;16;1;39;3;12557995;12560228;2233;1;1;1
"106";2;7;8;40;1;12747041;12753063;6022;2;2;1
"107";2;7;8;41;2;12753261;12759555;6294;3;3;1
"108";2;7;8;42;3;12759752;12762179;2427;1;1;1
"109";2;13;6;43;1;12824609;12830635;6026;1;1;1
"110";2;13;6;44;2;12830839;12837076;6237;2;2;1
"111";2;13;6;45;3;12837283;12839802;2519;1;1;1
"112";2;2;3;46;1;12925124;12932840;7716;3;1;0
"113";2;2;3;47;2;12933057;12938098;5041;2;2;1
"114";2;2;3;48;3;12938310;12941656;3346;1;1;1
"115";2;4;5;49;1;13006842;13019279;12437;3;2;0
"116";2;4;5;50;2;13019476;13028595;9119;3;1;0
"117";2;4;5;51;3;13028789;13031704;2915;2;2;1
"118";2;5;6;52;1;13102885;13108858;5973;1;1;1
"119";2;5;6;53;2;13109058;13120076;11018;1;1;1
"120";2;5;6;54;3;13120273;13139657;19384;3;1;0
