,Q1,Q1O1,Q1O2,Q1O3,Q1corr_ans,Q2,Q2O1,Q2O2,Q2O3,Q2corr_ans,Q3,Q3O1,Q3O2,Q3O3,Q3corr_ans
1,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,3,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,3,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
2,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,1,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,1,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
3,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,3,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,1,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
4,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,1,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,3,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
5,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,3,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,3,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
6,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,1,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,1,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
7,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,3,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,1,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
8,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,1,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,3,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
9,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,3,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,2,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
10,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,1,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,2,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
11,"The Farmer is standing by the rusty tractor facing it, which way does he need to go to get to his quad bike?",Right,Left,There is not enough information,3,Which of the siblings is the best at exploring?,Will,Jane,There is not enough information,2,The equipment on the farm is ___,Brand new,Old and in bad condition,There is not enough information,2
