,item,cond,P1,P2,Stimulus
1,1,1,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will wasn't as brave as Jane but they loved to pretend that they were explorers in some vast unknown land.",The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the left of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string.,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will wasn't as brave as Jane but they loved to pretend that they were explorers in some vast unknown land.The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the left of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string."
2,1,2,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will was braver than Jane and they loved to pretend that they were explorers in some vast unknown land.",The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the right of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string.,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will was braver than Jane and they loved to pretend that they were explorers in some vast unknown land.The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the right of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string."
3,1,3,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will wasn't as brave as Jane but they loved to pretend that they were explorers in some vast unknown land.",The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the right of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string.,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will wasn't as brave as Jane but they loved to pretend that they were explorers in some vast unknown land.The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the right of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string."
4,1,4,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will was braver than Jane and they loved to pretend that they were explorers in some vast unknown land.",The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the left of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string.,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will was braver than Jane and they loved to pretend that they were explorers in some vast unknown land.The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the left of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string."
5,1,5,The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the left of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string.,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will wasn't as brave as Jane but they loved to pretend that they were explorers in some vast unknown land.","The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the left of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string. Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will wasn't as brave as Jane but they loved to pretend that they were explorers in some vast unknown land."
6,1,6,The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the right of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string.,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will was braver than Jane and they loved to pretend that they were explorers in some vast unknown land.","The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the right of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string. Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will was braver than Jane and they loved to pretend that they were explorers in some vast unknown land."
7,1,7,The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the left of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string.,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will was braver than Jane and they loved to pretend that they were explorers in some vast unknown land.","The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the left of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string. Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will was braver than Jane and they loved to pretend that they were explorers in some vast unknown land."
8,1,8,The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the right of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string.,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will wasn't as brave as Jane but they loved to pretend that they were explorers in some vast unknown land.","The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the right of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string. Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will wasn't as brave as Jane but they loved to pretend that they were explorers in some vast unknown land."
9,2,1,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will wasn't as brave as Jane but they loved to pretend that they were explorers in some vast unknown land.",The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the left of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string.,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will wasn't as brave as Jane but they loved to pretend that they were explorers in some vast unknown land.The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the left of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string."
10,2,2,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will was braver than Jane and they loved to pretend that they were explorers in some vast unknown land.",The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the right of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string.,"Naomi had always been curious about the many abandoned pieces of equipment that littered the fields around her home. She was very brave for her age but wasn’t as brave as her little sister Jane. Jane could find adventure where ever she went. Sometimes, when their older brother Will came home from school, the three would go off exploring the countryside together. Will was braver than Jane and they loved to pretend that they were explorers in some vast unknown land.The farm that lay on the outskirts of town was large but had over the years become more and more derelict. To the left of the only barn still is use stood a rusty old tractor. Most of the equipment was almost completely unusable and had accumulated so much rust that all of it looked a reddish brown regardless of what colour it had been before. The only regularly used piece of equipment was a quad bike which stood somewhere to the right of the barn. If the quad bike was to break it would spell disaster for the farmer and his family who were holding on to their property by a string."
