"","item","cond","P1","P2","Stimulus"
"1",1,1,"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family.","The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.","The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family.The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years."
"2",1,2,"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers.","The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.","The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years."
"3",1,3,"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family.","The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.","The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family.The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years."
"4",1,4,"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers.","The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.","The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years."
"5",1,5,"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.","The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family.","The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family."
"6",1,6,"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.","The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers.","The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers."
"7",1,7,"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.","The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers.","The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers."
"8",1,8,"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.","The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family.","The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn’t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family."
"9",2,1,"Amy was a highly competent hiker and she loved to compete in time trials. She was annoyed at the fact that she hadn’t managed to climb to the mountain’s summit faster than Sam. The two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other. Amy's friend Bradley wanted to impress her. When he climbed the mountain he gave it all he had and made sure that he was at least faster than Amy. The three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went.","The mountain stood proudly as it had done for thousands of years. People had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountain’s base. The rest stop wasn’t an official one and had over the years become popular with bird watchers. They had no interest in reaching the summit as it was the birds they came for. With a recent increase in tourism on the mountain there was a rumour that somewhere above the camp at the mountain’s base there was a small area where people would go to throw their rubbish away. The mountain rangers authority found this to be completely unacceptable.","Amy was a highly competent hiker and she loved to compete in time trials. She was annoyed at the fact that she hadn’t managed to climb to the mountain’s summit faster than Sam. The two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other. Amy's friend Bradley wanted to impress her. When he climbed the mountain he gave it all he had and made sure that he was at least faster than Amy. The three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went. The mountain stood proudly as it had done for thousands of years. People had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountain’s base. The rest stop wasn’t an official one and had over the years become popular with bird watchers. They had no interest in reaching the summit as it was the birds they came for. With a recent increase in tourism on the mountain there was a rumour that somewhere above the camp at the mountain’s base there was a small area where people would go to throw their rubbish away. The mountain rangers authority found this to be completely unacceptable."
"10",2,2,"Amy was a highly competent hiker and she loved to compete in time trials. She was annoyed at the fact that she hadn’t managed to climb to the mountain’s summit faster than Sam. The two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other. Amy's friend Bradley wanted to impress her. When he climbed the mountain he gave it all he had but he simply wasn’t as fast as Amy. The three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went.","The mountain stood proudly as it had done for thousands of years. People had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountain’s base. The rest stop wasn’t an official one and had over the years become popular with bird watchers. They had no interest in reaching the summit as it was the birds they came for. With a recent increase in tourism on the mountain there was a rumour that somewhere below the camp at the mountain’s base there was a small area where people would go to throw their rubbish away. The mountain rangers authority found this to be completely unacceptable.","Amy was a highly competent hiker and she loved to compete in time trials. She was annoyed at the fact that she hadn’t managed to climb to the mountain’s summit faster than Sam. The two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other. Amy's friend Bradley wanted to impress her. When he climbed the mountain he gave it all he had but he simply wasn’t as fast as Amy. The three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went.The mountain stood proudly as it had done for thousands of years. People had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountain’s base. The rest stop wasn’t an official one and had over the years become popular with bird watchers. They had no interest in reaching the summit as it was the birds they came for. With a recent increase in tourism on the mountain there was a rumour that somewhere below the camp at the mountain’s base there was a small area where people would go to throw their rubbish away. The mountain rangers authority found this to be completely unacceptable."
"11",2,3,"Amy was a highly competent hiker and she loved to compete in time trials. She was annoyed at the fact that she hadn’t managed to climb to the mountain’s summit faster than Sam. The two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other. Amy's friend Bradley wanted to impress her. When he climbed the mountain he gave it all he had and made sure that he was at least faster than Amy. The three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went.","The mountain stood proudly as it had done for thousands of years. People had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountain’s base. The rest stop wasn’t an official one and had over the years become popular with bird watchers. They had no interest in reaching the summit as it was the birds they came for. With a recent increase in tourism on the mountain there was a rumour that somewhere below the camp at the mountain’s base there was a small area where people would go to throw their rubbish away. The mountain rangers authority found this to be completely unacceptable.","Amy was a highly competent hiker and she loved to compete in time trials. She was annoyed at the fact that she hadn’t managed to climb to the mountain’s summit faster than Sam. The two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other. Amy's friend Bradley wanted to impress her. When he climbed the mountain he gave it all he had and made sure that he was at least faster than Amy. The three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went. The mountain stood proudly as it had done for thousands of years. People had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountain’s base. The rest stop wasn’t an official one and had over the years become popular with bird watchers. They had no interest in reaching the summit as it was the birds they came for. With a recent increase in tourism on the mountain there was a rumour that somewhere below the camp at the mountain’s base there was a small area where people would go to throw their rubbish away. The mountain rangers authority found this to be completely unacceptable."
