"","Item","Ambiguity","SpaNwords","SocNwords","SpaF-K","SocF-K","SpaMeanWordLength","SocMeanWordLength","SpaMeanWordFrequency","SocMeanWordFrequency"
"1",1,"y",99,129,10.7259393939394,18.5836507936508,4.90909090909091,4.53174603174603,5.84483870967742,6.08655172413793
"2",2,"y",119,105,10.2424827586207,10.3197058823529,4.51724137931035,4.40196078431373,6.08481481481481,5.96290322580645
"3",3,"y",106,117,10.378,10.2452389380531,4.65714285714286,4.50442477876106,5.90707070707071,6.0129702970297
"4",4,"y",119,108,9.06762393162393,11.7659259259259,4.35042735042735,4.26851851851852,5.98763636363636,6.11686868686869
"5",5,"y",101,104,12.9505693069307,11.9806553398058,4.74257425742574,4.41509433962264,5.85326315789474,5.92559139784946
"6",6,"y",107,78,7.57621495327103,9.1865,4.34259259259259,4.76315789473684,6.12278350515464,5.86892307692308
"7",7,"y",102,122,8.17710891089109,11.765,4.65346534653465,5.12396694214876,6.01588888888889,5.72211009174312
"8",8,"y",120,115,7.59966386554622,8.17438596491228,4.30578512396694,4.35964912280702,6.153,5.97747572815534
"9",9,"y",126,90,10.6966829268293,8.32278651685393,4.39024390243902,4.31460674157303,5.92610619469027,5.92913580246914
"10",10,"y",110,85,10.0463636363636,12.4821951219512,4.59090909090909,4.47560975609756,5.97306930693069,5.9658904109589
"11",11,"y",93,120,12.6591304347826,7.72695322376739,4.45161290322581,4.6283185840708,5.99024096385542,6.12364583333333
"12",12,"y",119,83,8.28,9.24158536585366,4.34745762711864,4.46913580246914,6.03889908256881,5.95657142857143
"13",13,"y",131,116,7.7565625,11.6906896551724,4.1171875,4.12931034482759,6.15094017094017,6.20342592592593
"14",14,"y",115,115,9.24235087719298,6.82877192982456,4.25217391304348,3.88695652173913,5.99452830188679,6.11676470588235
"15",15,"y",116,97,13.0179824561403,11.10125,4.42105263157895,4.29896907216495,5.88365384615385,6.02606741573034
"16",16,"y",113,98,10.7673628318584,9.31646808510638,4.7787610619469,4.5531914893617,5.88075471698113,5.99256097560976
"17",17,"y",129,100,6.5072203765227,10.444,3.9922480620155,4.38,6.1791452991453,6.04208791208791
"18",18,"y",109,156,9.90833027522936,14.3139346405229,4.51376146788991,4.71241830065359,5.84903846153846,6.02964539007092
"19",19,"y",111,79,7.11454545454545,10.1688461538462,4.24770642201835,4.56410256410256,6.25864583333333,5.77945205479452
"20",20,"y",121,170,8.26838842975207,12.2036646706587,4.47107438016529,3.92814371257485,6.08028571428571,6.09761589403973
"21",21,"y",153,85,10.3456766917293,9.98924698795181,4.58169934640523,4.77380952380952,6.04267605633803,5.93922077922078
"22",22,"y",115,111,8.14969026548673,11.4925458715596,4.61061946902655,4.22935779816514,6.09686274509804,6.04647058823529
"23",23,"y",121,101,9.91,14.756,4.73333333333333,4.42,5.946,6.03365591397849
"24",24,"y",115,102,8.405,8.42951020408163,4.40869565217391,4.43877551020408,5.85439252336449,6.23035714285714
