"","Item","Ambiguity","SpaNwords","SocNwords","SpaF-K","SocF-K","SpaMeanWordLength","SocMeanWordLength","SpaMeanWordFrequency","SocMeanWordFrequency"
"25",1,"n",99,134,10.7259393939394,14.98,4.88888888888889,4.47727272727273,5.84462365591398,6.09074380165289
"26",2,"n",119,104,10.2424827586207,10.208,4.51724137931035,4.38,6.08268518518519,5.96133333333333
"27",3,"n",108,116,10.3154814814815,10.2138571428571,4.55555555555556,4.47321428571429,5.93306930693069,6.0409
"28",4,"n",119,102,9.06762393162393,11.476568627451,4.35897435897436,4.45098039215686,5.994,6.05064516129032
"29",5,"n",101,104,12.9505693069307,11.9806553398058,4.69607843137255,4.45714285714286,5.85568421052632,5.89376344086021
"30",6,"n",107,76,7.46593457943926,9.14667808219178,4.27777777777778,4.86301369863014,6.14309278350515,5.84095238095238
"31",7,"n",101,126,8.022,12.3529677419355,4.62,5.112,6.03415730337079,5.74787610619469
"32",8,"n",120,116,7.59966386554622,8.38140350877193,4.29752066115702,4.37391304347826,6.18727272727273,5.93553398058252
"33",9,"n",126,85,10.6966829268293,8.10009523809524,4.39024390243902,4.38095238095238,5.92814159292035,5.87597402597403
"34",10,"n",110,85,10.0463636363636,12.5671604938272,4.58181818181818,4.46913580246914,5.96613861386139,5.96352112676056
"35",11,"n",95,117,12.698085106383,7.59493506493507,4.38947368421053,4.70909090909091,6.01917647058823,6.10150537634409
"36",12,"n",123,80,7.63242030696576,9.14034810126583,4.4297520661157,4.51282051282051,6.01810810810811,5.94910447761194
"37",13,"n",131,111,7.7565625,11.2847522522523,4.109375,4.12612612612613,6.14495726495726,6.17866666666667
"38",14,"n",116,113,9.28434782608696,6.79216814159292,4.23275862068965,3.85217391304348,6.00644859813084,6.11980392156863
"39",15,"n",116,98,13.0179824561403,11.2241666666667,4.42105263157895,4.32989690721649,5.88144230769231,6.01579545454545
"40",16,"n",113,100,10.7673628318584,9.33368421052632,4.78761061946903,4.60416666666667,5.88735849056604,5.96012048192771
"41",17,"n",128,99,6.38361607142857,10.272601010101,4,4.38383838383838,6.18465517241379,6.03344444444444
"42",18,"n",109,154,9.90833027522936,14.3959470198676,4.5045871559633,4.77483443708609,5.86932038834951,6.01129496402878
"43",19,"n",111,79,7.11454545454545,10.0175641025641,4.25688073394495,4.52564102564103,6.2659375,5.81397260273973
"44",20,"n",120,171,8.14,12.133005988024,4.48333333333333,3.92814371257485,6.08548076923077,6.08152317880795
"45",21,"n",153,85,10.3456766917293,9.96109756097561,4.58169934640523,4.75,6.04429577464789,5.9592
"46",22,"n",115,110,8.14969026548673,11.3288888888889,4.60176991150442,4.24074074074074,6.09,6.04861386138614
"47",23,"n",123,98,9.84655737704918,14.5375257731959,4.68032786885246,4.44329896907217,5.96875,6.01488888888889
"48",24,"n",117,100,8.15175213675214,8.39868041237113,4.32478632478632,4.47422680412371,5.90862385321101,6.22607142857143
