"","sub","item","cond","seq","SFIX","EFIX","xPos","yPos","fix_num","fix_dur","sacc_dur","sent","line","word","word_line","char_trial","char_line","regress","wordID","land_pos","sacc_len","outOfBnds","outsideText","hasText","time_since_start","max_char_line","Rtn_sweep","Rtn_sweep_type","prev_RS","next_RS","prevChar","nextChar","prevX","nextX","prevY","prev_max_char_line","Age","prev_fix_dur","Fix_type","launchSite","landStart","undersweep_prob"
"1",1,21,5,3,2830808,2830985,520.3,148,11,177,66,1,2,18,2,89,6,0,"evidence",2,73,0,0,1,3094,83,1,"undersweep",0,0,79,1,1390.9,456.6,95.7,83,"y",224,"undersweep",4,6,1
"2",1,21,5,3,2834179,2834512,463.1,224.4,23,333,73,2,3,9,1,168,2,0,"water.",2,78,0,0,1,6465,84,1,"accurate",0,0,80,8,1404.4,537.6,164.2,83,"y",128,"accurate",3,2,0
"3",1,21,5,3,2837356,2837581,420.9,246.3,36,225,79,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,9642,81,1,"accurate",0,0,81,2,1410.7,462.6,213.5,84,"y",153,"accurate",3,NA,0
"4",1,21,5,3,2840297,2840538,492.8,346,47,241,65,5,5,6,1,335,4,0,"taking",4,69,0,0,1,12583,81,1,"undersweep",0,0,73,NA,1318.6,441.2,278.7,81,"y",302,"undersweep",8,4,1
"5",1,21,5,3,2844528,2844831,423.5,409.7,62,303,72,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,16814,84,1,"accurate",0,0,75,7,1337.5,531,337.6,81,"y",168,"accurate",6,NA,0
"6",1,21,5,3,2848399,2848551,450.7,448,75,152,75,6,7,10,1,497,1,0,"submarine,",1,79,0,0,1,20685,70,1,"undersweep",0,0,80,NA,1407.2,408.1,397.9,84,"y",139,"undersweep",4,1,1
"7",1,21,5,3,2851052,2851201,443.8,603.4,86,149,62,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,23338,75,1,"undersweep",0,0,64,NA,1212,384.2,455.9,70,"y",135,"undersweep",6,NA,1
"8",1,21,5,3,2854506,2854859,427,658.5,98,353,70,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,26792,80,1,"accurate",0,0,72,9,1308,555.1,604.6,75,"y",184,"accurate",3,NA,0
"9",1,21,5,3,2857375,2857520,424.3,739.5,109,145,67,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,29661,82,1,"undersweep",0,0,73,NA,1314.1,387.6,664.3,80,"y",199,"undersweep",7,NA,1
"10",1,21,5,3,2860106,2860263,452.7,788.2,121,157,63,9,11,14,1,804,1,0,"equipment",1,70,0,0,1,32392,82,1,"undersweep",0,0,71,NA,1290.5,388.2,713.9,82,"y",190,"undersweep",11,1,1
"11",1,21,5,3,2862618,2862793,428.1,875.8,131,175,73,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,34904,81,1,"undersweep",0,0,77,NA,1366.6,398.8,794.1,82,"y",184,"undersweep",5,NA,1
"12",1,21,5,3,2866504,2866629,484.9,916.9,146,125,68,12,13,4,1,969,3,0,"also",3,75,0,0,1,38790,83,1,"undersweep",0,0,78,NA,1374.2,401.9,857.8,81,"y",151,"undersweep",3,3,1
"13",1,21,5,3,2870063,2870208,474.1,1007.1,160,145,70,12,14,18,1,1052,3,0,"everyone",3,76,0,0,1,42349,32,1,"undersweep",0,0,79,NA,1386.8,406.9,933.8,83,"y",136,"undersweep",4,3,1
"14",1,14,6,4,2906610,2906725,474.7,172.4,20,115,66,1,2,18,1,86,3,0,"expanded",3,57,0,0,1,5248,82,1,"undersweep",0,0,60,1,1163.9,454.7,89,83,"y",214,"undersweep",23,3,1
"15",1,14,6,4,2913644,2913939,448.5,270.7,48,295,70,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,12282,79,1,"accurate",0,0,72,12,1305.3,587.7,222.9,81,"y",200,"accurate",9,NA,0
"16",1,14,6,4,2916797,2916980,464.3,318.6,60,183,68,4,5,4,1,327,2,0,"noticed",2,71,0,0,1,15435,84,1,"undersweep",0,0,73,NA,1316.3,422,267.6,79,"y",126,"undersweep",6,2,1
"17",1,14,6,4,2920110,2920569,433.8,388.3,74,459,76,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,18748,81,1,"accurate",0,0,77,5,1366.3,509.3,321.6,84,"y",221,"accurate",7,NA,0
"18",1,14,6,4,2923127,2923300,456.5,464,86,173,71,5,7,6,1,491,1,0,"the",1,76,0,0,1,21765,70,1,"undersweep",0,0,77,NA,1362.5,414.1,406,81,"y",94,"undersweep",4,1,1
"19",1,14,6,4,2930306,2930577,433.2,607.8,113,271,43,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,28944,82,1,"accurate",0,0,32,7,826.5,531.5,411.9,81,"y",121,"accurate",49,NA,0
"20",1,14,6,4,2934697,2934832,463.3,644.4,131,135,74,7,9,4,1,644,2,0,"unusual,",2,79,0,0,1,33335,80,1,"undersweep",0,0,81,NA,1419.7,391.2,592.8,82,"y",135,"undersweep",1,2,1
"21",1,14,6,4,2937877,2938044,423.2,726,143,167,72,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,36515,82,1,"undersweep",0,0,73,NA,1319.9,383.5,647.8,80,"y",250,"undersweep",7,NA,1
"22",1,14,6,4,2942470,2942734,401.3,810.9,162,264,76,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,41108,81,1,"accurate",0,0,79,3,1386.9,483.3,733.4,82,"y",107,"accurate",3,NA,0
"23",1,14,6,4,2946021,2946211,417.4,879.6,176,190,77,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,44659,83,1,"undersweep",0,0,77,NA,1362.1,378.5,791.8,81,"y",95,"undersweep",4,NA,1
"24",1,14,6,4,2949620,2949752,516.7,930.6,192,132,68,11,13,14,2,974,6,0,"the",1,72,0,0,1,48258,82,1,"undersweep",0,0,78,NA,1379.1,398.8,858.9,83,"y",126,"undersweep",5,6,1
"25",1,14,6,4,2953091,2953230,470.3,981.6,207,139,66,11,14,29,1,1052,2,0,"while",2,74,0,0,1,51729,28,1,"undersweep",0,0,76,NA,1360.1,420.7,943.3,82,"y",159,"undersweep",6,2,1
"26",1,13,5,5,2985087,2985360,464.4,167,13,273,76,2,2,8,1,83,2,0,"managers",2,76,0,0,1,3420,82,1,"accurate",0,0,78,9,1378.8,553.7,90,81,"y",160,"accurate",3,2,0
"27",1,13,5,5,2988811,2988970,482.1,209.6,27,159,73,3,3,12,2,166,3,0,"eye",0,77,0,0,1,7144,80,1,"undersweep",0,0,80,NA,1408.2,416.6,158.4,82,"y",149,"undersweep",2,3,1
"28",1,13,5,5,2992426,2992611,452.4,276.6,41,185,72,3,4,27,1,244,1,0,"working",1,76,0,0,1,10759,80,1,"undersweep",0,0,77,NA,1371.4,402.1,213.9,80,"y",200,"undersweep",3,1,1
"29",1,13,5,5,3002210,3002537,453.7,329.8,80,327,70,5,5,2,1,324,1,0,"manager",1,76,0,0,1,20543,82,1,"accurate",0,0,77,7,1367.3,529.7,264.2,80,"y",128,"accurate",3,1,0
"30",1,13,5,5,3005943,3006419,414.3,409.3,95,476,76,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,24276,83,1,"accurate",0,0,78,5,1385.4,505.2,325.2,82,"y",137,"accurate",4,NA,0
"31",1,13,5,5,3009385,3009540,471.6,459.1,107,155,72,6,7,20,1,490,2,0,"could",2,77,0,0,1,27718,66,1,"undersweep",0,0,79,NA,1395.7,394.5,393.6,83,"y",197,"undersweep",4,2,1
"32",1,13,5,5,3015194,3015335,437.5,661.4,129,141,76,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,33527,83,1,"undersweep",0,0,79,NA,1386.1,376.6,597.1,83,"y",216,"undersweep",4,NA,1
"33",1,13,5,5,3018550,3018725,426.6,709.8,143,175,72,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,36883,78,1,"undersweep",0,0,76,NA,1358.8,370.8,652.7,83,"y",62,"undersweep",7,NA,1
"34",1,13,5,5,3022223,3022397,444.6,795.1,156,174,72,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,40556,80,1,"undersweep",0,0,74,NA,1336.4,398.5,726.6,78,"y",160,"undersweep",4,NA,1
"35",1,13,5,5,3025710,3025873,451.6,854.2,169,163,72,11,12,19,1,879,1,0,"cooked",1,75,0,0,1,44043,84,1,"undersweep",0,0,76,NA,1355.9,397.7,788.7,80,"y",236,"undersweep",4,1,1
"36",1,13,5,5,3029785,3029956,451.7,942.7,182,171,70,12,13,12,1,963,1,0,"agriculture",1,74,0,0,1,48118,65,1,"undersweep",0,0,75,NA,1338.6,398.7,859,84,"y",220,"undersweep",9,1,1
"37",1,18,2,6,3060501,3060660,471.6,146.6,12,159,66,1,2,15,1,80,2,0,"archaeological",2,65,0,0,1,3170,83,1,"undersweep",0,0,67,NA,1250.7,422.7,71.2,78,"y",324,"undersweep",11,2,1
"38",1,18,2,6,3062670,3062803,494.4,209.9,22,133,72,2,3,9,1,165,4,0,"co-fund",4,71,0,0,1,5339,84,1,"undersweep",0,0,75,NA,1344.5,426,147.5,83,"y",178,"undersweep",8,4,1
"39",1,18,2,6,3065059,3065329,448.5,259.2,32,270,94,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,7728,81,1,"accurate",0,0,79,11,1392.9,573.5,209.1,84,"y",149,"accurate",5,NA,0
"40",1,18,2,6,3068021,3068329,453.1,330.3,44,308,94,5,5,5,1,327,1,0,"much",1,74,0,0,1,10690,82,1,"accurate",0,0,75,8,1345.7,541,274.2,81,"y",302,"accurate",6,1,0
"41",1,18,2,6,3071284,3071431,460.6,392.7,57,147,70,7,6,2,1,409,1,0,"were",1,76,0,0,1,13953,82,1,"undersweep",0,0,77,NA,1367.9,383.9,341,82,"y",147,"undersweep",5,1,1
"42",1,18,2,6,3075507,3075643,507.7,448.7,72,136,71,8,7,8,2,495,5,0,"all",0,74,0,0,1,18176,41,1,"undersweep",0,0,79,NA,1387.2,414.5,398.3,82,"y",148,"undersweep",3,5,1
"43",1,18,2,6,3080562,3080881,409,649.8,93,319,70,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,23231,78,1,"accurate",0,0,74,3,1331.3,483.1,589,79,"y",154,"accurate",5,NA,0
"44",1,18,2,6,3084866,3085108,389.8,733.3,109,242,74,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,27535,74,1,"accurate",0,0,75,3,1344.5,479.1,657.2,78,"y",116,"accurate",3,NA,0
"45",1,18,2,6,3087543,3087903,416.1,778.8,120,360,66,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,30212,83,1,"accurate",0,0,69,10,1266.7,562.3,722.3,74,"y",181,"accurate",5,NA,0
"46",1,18,2,6,3094572,3094850,416.1,916.6,147,278,68,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,37241,82,1,"accurate",0,0,72,4,1301.6,493.3,848.9,80,"y",168,"accurate",8,NA,0
