item	cond	P1	P2	StimulusV2	Q1	Q1O1	Q1O2	Q1O3	Q1corr_ans	Q2	Q2O1	Q2O2	Q2O3	Q2corr_ans	Q3	Q3O1	Q3O2	Q3O3	Q3corr_ans		space	P2V2	StimulusV2
1	1	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family."	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family.                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  	A. Mr.Roberts	B. Dwights	C.There is not enough information	C.There is not enough information	Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? 	A. Left	B. Right	C.There is not enough information	C.There is not enough information	The number of people attending service at the chapel has	A.Increased	B.Decreased	C.There is not enough information	B.Decreased		                                                                                                                                                                                                                                                                                                                                                                                                 	"                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family.                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "
1	2	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. "	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers.                                                                                                                                                                                                                                                                                                                                                                                                  The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  	A. Mr.Roberts	B. Dwights	C.There is not enough information	B. Dwights	Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? 	A. Left	B. Right	C.There is not enough information	A. Left	The number of people attending service at the chapel has	A.Increased	B.Decreased	C.There is not enough information	B.Decreased		                                                                                                                                                                                                                                                                                                                                                                                                 	"                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers.                                                                                                                                                                                                                                                                                                                                                                                                  The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "
1	3	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family."	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family.                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  	A. Mr.Roberts	B. Dwights	C.There is not enough information	C.There is not enough information	Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? 	A. Left	B. Right	C.There is not enough information	A. Left	The number of people attending service at the chapel has	A.Increased	B.Decreased	C.There is not enough information	B.Decreased		                                                                                                                                                                                                                                                                                                                                                                                                 	"                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family.                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "
1	4	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. "	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers.                                                                                                                                                                                                                                                                                                                                                                                                  The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  	A. Mr.Roberts	B. Dwights	C.There is not enough information	B. Dwights	Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? 	A. Left	B. Right	C.There is not enough information	C.There is not enough information	The number of people attending service at the chapel has	A.Increased	B.Decreased	C.There is not enough information	B.Decreased		                                                                                                                                                                                                                                                                                                                                                                                                 	"                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers.                                                                                                                                                                                                                                                                                                                                                                                                  The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "
1	5	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family."	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.                                                                                                                                                                                                                                                                                                                                                                                                  The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family."	Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? 	A. Left	B. Right	C.There is not enough information	C.There is not enough information	The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  	A. Mr.Roberts	B. Dwights	C.There is not enough information	C.There is not enough information	The number of people attending service at the chapel has	A.Increased	B.Decreased	C.There is not enough information	B.Decreased		                                                                                                                                                                                                                                                                                                                                                                                                 	"                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family."	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.                                                                                                                                                                                                                                                                                                                                                                                                  The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However  it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr. Roberts donated to the chapel, he made sure he at least donated more than the Alder Family."
1	6	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. "	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.                                                                                                                                                                                                                                                                                                                                                                                                  The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. "	Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? 	A. Left	B. Right	C.There is not enough information	A. Left	The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  	A. Mr.Roberts	B. Dwights	C.There is not enough information	B. Dwights	The number of people attending service at the chapel has	A.Increased	B.Decreased	C.There is not enough information	B.Decreased		                                                                                                                                                                                                                                                                                                                                                                                                 	"                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. "	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the left of the alter in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.                                                                                                                                                                                                                                                                                                                                                                                                  The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. "
1	7	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years. "	"The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. "	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.                                                                                                                                                                                                                                                                                                                                                                                                  The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. "	Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? 	A. Left	B. Right	C.There is not enough information	C.There is not enough information	The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  	A. Mr.Roberts	B. Dwights	C.There is not enough information	B. Dwights	The number of people attending service at the chapel has	A.Increased	B.Decreased	C.There is not enough information	B.Decreased		                                                                                                                                                                                                                                                                                                                                                                                                 	"                                                                                                                                                                                                                                                                                                                                                                                                 The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. "	"The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent alter that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has lead researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.                                                                                                                                                                                                                                                                                                                                                                                                  The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel and always considered themselves better because of it. However, it still wasn?t enough to match the amount of money that the Dwight family had managed to raise for the chapel. This rivalry had been going on for years and had started to fray relations between everyone in the village. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel he made sure he donated less than the Alder Family, so as not to ruffle any feathers. "
