Item;Ambi;Soc
 1;y;The old chapel relied on donations from the local community. The Alder family had donated a great deal of money to the chapel. However, it still wasn't enough to match the amount of money that the Dwight family had managed to raise for the chapel. However, a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village. When Mr.Roberts donated to the chapel, he donated more than the Alder Family.
 2;y;Amy was a highly competent hiker and she loved to compete in time trials. She was annoyed at the fact that she hadn't managed to climb to the mountain's summit faster than Sam. The two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other. Amy's friend Bradley wanted to impress her. When he climbed the mountain he gave it all he had and made sure that he was at least faster than Amy. The three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went.
 3;y;The town surgery had three resident GPs. Malcom who had been at the surgery the longest was liked well enough by the people who came to the surgery but his popularity was overshadowed by Sue who was very well liked by patients. With the surgery's refurbishment came a third GP, Matthew, whose kind nature made him very popular with the townsfolk, more popular than at Malcom. It didn't matter to them though as their main goal was to provide the best medical care they could to help their community.
 4;y;Benjamin, the mechanic, had only just arrived on the island. He had been called there on the behest of his friend Allan, who was also a mechanic, to fix the island's lighthouse. Benjamin was not as good of a mechanic as Allan. After a long day of trying to repair the lighthouse there was still much work to do to get it working. Allan decided to call for help. Susan, who also lived on the Island, was not as good of a mechanic as Allan but surely the three of them would complete the work faster than just the two of them.
 5;y;Terrance had loved caving ever since he was introduced to it by his mother, Joan. Though she was getting older now she was still more experienced than him. The two would often plan family vacations that just happened to be in the vicinity of safe but challenging cave systems. Terrance's father had left before he was born, so when his mother had married his stepfather Stephen, Terrance was excited about the family holidays they could go on now as a trio. Stephen had an adventurous streak and also loved caving, though he was also not as experienced as Joan.
 6;y;Harriet often travelled the long A67 highway. She had what she considered to be one of the most expensive cars in her neighbourhood, far more expensive than her neighbour Barry's car. Harriet was arrogant and boastful so it made her happy that he struggled to purchase his car whereas she could easily afford hers. Harriet's other neighbour Olive had a much nicer and more expensive car than Barry. Harriet enjoyed washing her car every weekend.
 7;y;Sunnydale high school was like any high school. The basketball group was quite popular even more popular than the football group. This may have been down to their recent win streak against their rival high school, which had put them on their way to the basketball finals. On another hand the art club had recently also exploded in popularity due to their very successful summer exhibition. Though they were still less popular than the basketball group. Their popularity would influence how many members each group had
 8;y;The Dunwich marathon drew from all over the county. Mike and his two friends, Ralph and Dustin, had come from two towns over to participate. Mike knew that he wasn't as good of a runner as Ralph. Dustin was a relatively new friend of theirs having only joined their company a few months ago, but they absolutely loved him. As soon as the marathon began it became apparent that Dustin, like Ralph was a much better runner than Mike. This was going to be another tough one for Mike.
 9;y;Jonathan had been looking forward to his skiing trip for a while now. Recent profitable returns on some risky investments had made him a lot of money and it was time to flaunt it. He knew that his university rival, Thom, would be skiing at the same resort as him and it made him very happy to know that his net worth was now, way above Thom's. Jonathan had invited his childhood friend Catherine to go skiing with him. Catherine had been born very wealthy but not as wealthy as Jonathan.
10;y;Agatha was a spectacular horticulturalist. She was better even than Sam who owned the flower shop. If there was something that Sam didn't know or wasn't sure about it was Agatha that she would go to. The two had worked together on multiple projects in the past. Recently a new flower shop had opened up in the next town over, its proprietor was none other than Sam's old rival Rachel who was much more knowledgeable than Sam when it came to Flowers.
