Item;Ambi;Spat
 1;y;The old chapel doors stood wide open allowing full view of its interior. Inside there stood a magnificent altar that had been in the church for hundreds of years. To the left of the alter stood the pulpit where the pastor would often hold his sermons from. A recent Archaeological discovery has led researchers to believe that there is a secret underground chamber somewhere to the right of the pulpit in the church. The local community considered the church an integral part of its identity, though the number of people attending had dwindled significantly over the past few years.
 2;y;The mountain stood proudly as it had done for thousands of years. People had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountain’s base. The rest stop wasn’t an official one and had over the years become popular with bird watchers. They had no interest in reaching the summit as it was the birds they came for. With a recent increase in tourism on the mountain there was a rumour that somewhere above the camp at the mountain’s base there was a small area where people would go to throw their rubbish away. The mountain rangers' authority found this to be completely unacceptable.
 3;y;The newly refurbished town surgery was finally ready to reopen after a whole month of being closed. The surgery was located in front of a small play park surrounded by a large car park that was used for local shopping. The surgery boasted a great deal more space than it had before, several smaller buildings around were now used to house non-medical tools such as cleaning equipment. The cleaner would keep his floor polisher in a shed somewhere behind the surgery. The cleaner had worked at the surgery for as long as anyone could remember and he himself was also quite old.
 4;y;Spice Island lay just three nautical miles off the coast Newfoundland. The island didn’t have a great deal to offer in terms of comfort but there were a handful of people that called it home. There was a small weather station to the left the small docks used mostly to load and unload supplies as well as passengers. There was also a small supply store somewhere to the left of the docks which sold various bits and pieces. It was overpriced due to the fact that spice islanders had to import everything from the mainland. Many of them didn’t mind spending more on supplies if it meant avoiding a long trip to the mainland.
 5;y;The local community had long considered the caves at the bottom of the Lincoln gorge dangerous. However, the tourist industry just kept growing. An adventure holiday company had set up a seasoned cavers activity with a rest stop in a large cave somewhere below the entrance. This was usually the only place tourists got to before turning back as the tunnel that went further down was a very tight squeeze. A recent geological survey of the area had determined that there should be a previously undiscovered cavern below the entrance to the caves.
 6;y;The A67 highway was one of the longest roads in the country. It spanned almost all of it, and ran over the river Stig. Heading to Innsmouth from Ipswich people have to cross the bridge over the river. Somewhere before this bridge there was a rest stop that offered travellers bed and breakfast. It was a popular place and saw a great many visitors, making it a profitable place to own. A checkpoint had been set up by the police somewhere before the bridge as there had been reports of drug smuggling in the area.
 7;y;The party hall had been rented out for the high school’s prom. The theme was 1950’s and the hall had been decorated accordingly with bunting and posters from the era. To the right of the table with snacks and refreshments stood a photo booth, where students could have their pictures taken in their fancy dress consumes. Somewhere to the left of the photo booth stood a table where students could write their well wishes to their fellow students, teachers, parents or anyone that had helped them get through the year. All the tickets for the prom had sold out almost immediately, it was set to be the biggest event in the school calendar.
 8;y;The marathon was held every year in Dunwich. Every runner had to have a charity for which they were running. Most of the time the runners that ran for a big charity would run in a group together in order to stand out more for the crowds that gathered along the roads. The runners of the local hospice knew they were behind the runners of the wildlife charity. It didn’t matter who won of course so long as money was raised and everyone had fun. The runners from the cancer charity knew they were in front of the runners from the hospice, which encouraged them. It would be a spectacular finish with a great deal of money raised for charity.
 9;y;High up in the mountains, where the snow rarely melts, is a world famous ski resort. The resort caters almost exclusively to the incredibly wealthy. It has some of the finest hotels and restaurants in the world. The slope everyone at the resort desired to be seen on was above one of the more exclusive ski lodges. People had to take a special pre-booked shuttle bus to get to the lodge itself and then wait to be invited to ski on the slope. Though the lodge couldn’t actually stop anyone from skiing on the slope, they were responsible for its upkeep and safety. A child has gone missing below the start of the slope and hadn’t been seen in several hours.
10;y;The flower shop on Wensley High Street was by far the most popular shop in town. People said it had the best variety of plants on offer. To the right of display of pre-cut flowers was an arrangement of succulents that would change every week. It was one of the reasons why the shop was so popular, people loved the fact that they could return weekly and find something completely new. Recently a local prankster had taken to putting fake plastic plants with price tags somewhere to the right of the cut flowers, much to the dismay of anyone unfortunate enough to accidentally purchase them.
11;y;The village of Northport didn’t offer that much in terms of regular amusement but it had some of the best camping around, especially in the summer. Behind the rows of summer lodges was a stream where kids from the village would spend their entire summer. They often played with those that had come to Northport for the camping. Many friendships were forged in and around that stream. Behind the summer lodges stood a monument to a dog that had saved his owners life during a bear attack at the cost of its own.
12;y;The Torton airfield was busy this time of year. Many of the hobby pilots had taken their summer holidays at the exact same time and all wanted to fly. The resident helicopter flight instructor was somewhere above the control tower. He liked to tease the people in the control tower with stunts high in the air that looked like they would end in a crash. The tower couldn’t care less though they were dealing with a landing request from a small biplane that was having a few engine troubles but it was high above them so it had plenty of space, time and speed to be able to make a safe landing.
